id,tag,source,as_of
c3441,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3458,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3470,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3480,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3522,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3704,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3851,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3948,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3983,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c3992,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4029,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4053,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4068,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4117,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4165,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4282,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4304,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4309,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4318,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4319,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4324,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4337,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4360,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4385,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4399,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4411,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4413,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4434,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4440,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4442,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4443,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4465,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4477,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4488,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4512,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4528,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4534,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4545,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4557,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4567,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4578,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4579,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4590,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4603,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4627,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4680,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4734,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4756,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4790,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
c4887,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
