name,sector,source,as_of
(주)가야항공여행사,예술 스포츠 및 여가 관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가언건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가온기술,출판 영상 방송통신 및 정보서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가온시스템,그 밖의 제품 제조업|가구 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가온하이텍,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가와디자인그룹,건설업|가구 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가우디건설,종합 건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가이아스케이프,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가인건설디자인,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)가화디자인,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)감로파인케미칼,화학물질 및 화학제품 제조업(의약품 제조업 제외),대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)감솔건축사사무소,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)갑산전기,전기 가스 증기 및 수도사업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)갓파이,식료품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강경숙칠판,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강남이엔씨,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강동이앤씨,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강산씨앤씨,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강산조경건설,그 밖의 제품 제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강산티앤에프,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)강서전력,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거림건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거목건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거목에이전시,사업시설 관리 사업 지원 및 임대 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거산케이앤씨,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거성지엠에스,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거암,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)거화,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건강나눔,정보통신업|제조업|도매 및 소매업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건구종합건설,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건명산업,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건민디자인,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건양에스앤씨,사업시설 관리 사업 지원 및 임대 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건우개발,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건축사사무소 혜림건축,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건축사사무소성우건축,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건축사사무소시공건축,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)건축환경연구소에스디에이,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)걸리버,인쇄 및 기록매체 복제업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)게이트시스템,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경구정보통신,정보통신업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경대쌍마관광,예술 스포츠 및 여가 관련 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경림,전문 과학 및 기술 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경맥에프엠,사업시설관리 및 사업지원 서비스업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경명조경,건설업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경민기공,제조업,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
(주)경보시스템,,대구광역시 지역중소기업 명단(공공데이터포털),2026-09
