id,name,complex,district,eupmyeon,sector_code,sector,sector_group,product,workers_band,workers,reg_type,first_registered,mfg_area_band,address,sites,source,as_of,founded,tags
x3782,주식회사케이지컴퍼니,산단 외,동구,,,응용 소프트웨어 개발 및 공급업,소프트웨어·IT,,1~9명,3,,,,대구광역시 동구 메디밸리로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3783,우마왕 정육점,산단 외,달성군,,,육류 소매업,식품,,1~9명,4,,,,대구광역시 달성군 다사읍 죽곡1길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3784,주식회사 에스에이치,산단 외,동구,,,데이터베이스 및 온라인 정보 제공업,소프트웨어·IT,,1~9명,9,,,,대구광역시 동구 동부로30길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3785,주식회사 아티플,산단 외,중구,,,전자상거래 소매업,전기·전자,,1~9명,3,,,,대구광역시 중구 북성로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3786,주식회사 삼성이엔지 달성공단지점,산단 외,달성군,,,그 외 자동차용 신품 부품 제조업,자동차·부품,,1~9명,3,,,,대구광역시 달성군 유가읍 테크노순환로8길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3787,주식회사 조은부품,산단 외,서구,,,자동차 재제조 부품 제조업,자동차·부품,,1~9명,4,,,,대구광역시 서구 와룡로97길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3788,주식회사 프레쉬몰,산단 외,동구,,,가금류 가공 및 저장 처리업,기계·금속,,1~9명,9,,,,대구광역시 동구 부동길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3789,주식회사 본일렉트릭,산단 외,동구,,,일반 전기 공사업,전기·전자,,1~9명,8,,,,대구광역시 동구 이노밸리로46길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3790,주식회사 팀로보틱스,산단 외,달성군,,,산업용 로봇 제조업,로봇,,1~9명,4,,,,대구광역시 달성군 현풍읍 테크노중앙대로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3791,한영모빌리티 주식회사,산단 외,수성구,,,자동차 신품 판매업,자동차·부품,,1~9명,4,,,,대구광역시 수성구 들안로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3792,(주)품격한우,산단 외,달성군,,,육류 도매업,식품,,10~49명,21,,,,대구광역시 달성군 옥포읍 시저로6길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3793,주식회사 디지털스튜디오일오삼,산단 외,중구,,,호스팅 및 관련 서비스업,소프트웨어·IT,,1~9명,5,,,,대구광역시 중구 봉산문화길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3794,주식회사세인코리아라이트컨트롤필름디엠본점,산단 외,수성구,,,자동차 세차업,자동차·부품,,1~9명,6,,,,대구광역시 수성구 동원로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3795,주식회사 캐니캐티케어(CaniCatiCare),산단 외,수성구,,,기타 자연과학 연구개발업,기타 서비스,,1~9명,4,,,,대구광역시 수성구 달구벌대로528길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3796,사회적협동조합 우리집,산단 외,동구,,,기타 인문 및 사회과학 연구개발업,기타 서비스,,10~49명,13,,,,대구광역시 동구 아양로39길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3797,주식회사 제우스랩스,산단 외,동구,,,응용 소프트웨어 개발 및 공급업,소프트웨어·IT,,1~9명,4,,,,대구광역시 동구 효신로16길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3798,주식회사 스터디포미,산단 외,수성구,,,응용 소프트웨어 개발 및 공급업,소프트웨어·IT,,1~9명,4,,,,대구광역시 수성구 알파시티1로4길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3799,주식회사 창세기중기스카이,산단 외,동구,,,일반 화물 자동차 운송업,자동차·부품,,1~9명,7,,,,대구광역시 동구 첨단로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3800,주식회사 플레이서스,산단 외,중구,,,기타 구조용 금속제품 제조업,기계·금속,,1~9명,4,,,,대구광역시 중구 달구벌대로447길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3801,(주) 케이엠티테크,산단 외,달서구,,,선박 구성 부분품 제조업,기타 제조,,1~9명,3,,,,대구광역시 달서구 성서로67길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3802,주식회사 제이패브릭 대구2공장,산단 외,달성군,,,화학섬유직물 직조업,섬유·패션,,1~9명,3,,,,대구광역시 달성군 논공읍 비슬로264길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3803,주식회사 자모시,산단 외,동구,,,속옷 및 잠옷 제조업,기타 제조,,1~9명,4,,,,대구광역시 동구 반야월북로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3804,(주)아이나무푸드,산단 외,서구,,,육류 가공식품 도매업,식품,,1~9명,5,,,,대구광역시 서구 가르뱅이로16길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3805,주식회사 다온,산단 외,달성군,,,육상 금속 골조 구조재 제조업,기계·금속,,1~9명,8,,,,대구광역시 달성군 구지면 국가산단서로71길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3806,브레인웍스 주식회사,산단 외,동구,,,응용 소프트웨어 개발 및 공급업,소프트웨어·IT,,10~49명,11,,,,대구광역시 동구 장등로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3807,주식회사 이고,산단 외,북구,,,그 외 자동차용 신품 부품 제조업,자동차·부품,,1~9명,4,,,,대구광역시 북구 팔달로35길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3808,주식회사골드레인커넥트(G.R.C),산단 외,동구,,,통신ㆍ방송장비 및 부품 도매업,기계·금속,,1~9명,8,,,,대구광역시 동구 신암남로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3809,주식회사 티에스티테크놀로지,산단 외,달성군,,,금속 절삭기계 제조업,기계·금속,,1~9명,6,,,,대구광역시 달성군 현풍읍 지동1길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3810,한마당미트 주식회사,산단 외,북구,,,육류 도축업(가금류 제외),식품,,1~9명,6,,,,대구광역시 북구 신암로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3811,주식회사 크로바모터스,산단 외,달서구,,,자동차 종합 수리업,자동차·부품,,1~9명,7,,,,대구광역시 달서구 문화회관9길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3812,세븐포인트원 대구지사,산단 외,수성구,,,기타 자연과학 연구개발업,기타 서비스,,1~9명,6,,,,대구광역시 수성구 알파시티1로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3813,주식회사 창성에프에이(FA),산단 외,달서구,,,그 외 기타 특수 목적용 기계 제조업,기계·금속,,1~9명,3,,,,대구광역시 달서구 달서대로58안길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3814,주식회사 진천주유소,산단 외,달서구,,,운송장비용 주유소 운영업,기계·금속,,1~9명,4,,,,대구광역시 달서구 월배로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3815,포에이치스주식회사,산단 외,수성구,,,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,섬유·패션,,1~9명,3,,,,대구광역시 수성구 알파시티1로4길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3816,주식회사 현정팜,산단 외,북구,,,화장품  비누 및 방향제 소매업,화학·에너지,,1~9명,6,,,,대구광역시 북구 호국로57길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3817,주식회사 여물,산단 외,북구,,,육류 포장육 및 냉동육 가공업(가금류 제외),식품,,1~9명,4,,,,대구광역시 북구 검단공단로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3818,지에스더블유(주),산단 외,달성군,,,그 외 자동차용 신품 부품 제조업,자동차·부품,,1~9명,3,,,,대구광역시 달성군 유가읍 유곡길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3819,주식회사 보행안전개발원,산단 외,북구,,,콘크리트 타일  기와  벽돌 및 블록 제조업,기타 제조,,1~9명,3,,,,대구광역시 북구 호국로43길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3820,주식회사 다보인터내셔널,산단 외,중구,,,농림업용 기계 및 장비 도매업,기계·금속,,1~9명,8,,,,대구광역시 중구 북성로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3821,주식회사 이음메디컬세일즈플랫폼 영남센터,산단 외,수성구,,,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,섬유·패션,,1~9명,3,,,,대구광역시 수성구 희망로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3822,주식회사 삼광테크,산단 외,북구,,,주형 및 금형 제조업,기계·금속,,1~9명,3,,,,대구광역시 북구 팔달북로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3823,주식회사 새롬한우,산단 외,서구,,,육류 포장육 및 냉동육 가공업(가금류 제외),식품,,1~9명,7,,,,대구광역시 서구 와룡로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3824,주식회사 팔랑크스시스템즈(Phalanx Systems Inc.),산단 외,수성구,,,데이터베이스 및 온라인 정보 제공업,소프트웨어·IT,,10~49명,10,,,,대구광역시 수성구 알파시티1로4길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3825,(주)동우화스너,산단 외,북구,,,일반 철물 제조업,기타 제조,,1~9명,4,,,,대구광역시 북구 3공단로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3826,주식회사 이런커피,산단 외,수성구,,,커피 가공업,기계·금속,,1~9명,4,,,,대구광역시 수성구 고모로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3827,오엔건설(주)/일용/롯데몰 대구 신축공사 변경도급계약 체결 件(변경6차),산단 외,수성구,,,유리 및 창호 공사업,기타 제조,,10~49명,46,,,,대구광역시 수성구 알파시티1로,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3828,(주)태원모터스,산단 외,달성군,,,자동차 전문 수리업,자동차·부품,,1~9명,4,,,,대구광역시 달성군 논공읍 논공중앙로34길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
x3829,(주)지인테크,산단 외,달성군,,,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공,기계·금속,,1~9명,4,,,,대구광역시 달성군 논공읍 금강로16길,1,국민연금 가입 사업장 내역 2026-07,2026-07,2024,
