자료생성년월,사업장명,사업자등록번호,사업장가입상태코드,사업장도로명상세주소,사업장지번상세주소,법정동주소광역시도코드,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,신규취득자수,상실가입자수
2026-07,(주)창민건설,415811,1,대구광역시 동구 해동로,대구광역시 동구 검사동,27,452102,유리 및 창호 공사업,2003-08-12,,,3,0,0
2026-07,태흥산업(주),508811,1,대구광역시 군위군 군위읍 군위공단길,대구광역시 군위군 군위읍,27,172101,침구 및 관련제품 제조업,2003-09-01,,,8,0,0
2026-07,범어라이크어학원,502912,1,대구광역시 수성구 달구벌대로,대구광역시 수성구 만촌동,27,809005,일반 교과학원,2003-09-26,2012-05-30,,12,0,0
2026-07,대한예수교장로회내일교회,503820,1,대구광역시 달서구 성서동로,대구광역시 달서구 장동,27,999999,BIZ_NO미존재사업장,2003-09-01,,,7,0,0
2026-07,(주)송정건설,514814,1,대구광역시 달서구 상화로,대구광역시 달서구 진천동,27,452105,도배  실내 장식 및 내장 목공사업,2003-10-01,,,5,0,0
2026-07,강북환경(주),504815,1,대구광역시 북구 침산로,대구광역시 북구 침산동,27,900200,하수 처리업,2003-10-01,,,17,1,0
2026-07,미래기연(주),503815,1,대구광역시 달서구 성서공단북로,대구광역시 달서구 장동,27,292903,주형 및 금형 제조업,2003-10-01,,,5,0,0
2026-07,중앙모터스(주) 본점,514814,1,대구광역시 서구 와룡로,대구광역시 서구 이현동,27,501201,자동차 신품 판매업,2003-10-01,,,242,2,8
2026-07,(주)이두건설,514812,1,대구광역시 달서구 월배로,대구광역시 달서구 송현동,27,452105,도배  실내 장식 및 내장 목공사업,2003-10-01,,,14,1,0
2026-07,영남바이오 주식회사,514814,1,대구광역시 달성군 논공읍 비슬로371길,대구광역시 달성군 논공읍,27,900100,지정 외 폐기물 수집  운반업,2003-11-01,,,8,0,0
2026-07,케이에이치코프레이션(주),503816,1,대구광역시 달서구 달서대로,대구광역시 달서구 신당동,27,514963,도매 / 면직물,2003-11-01,,,3,0,0
2026-07,동호정형외과의원,502913,1,대구광역시 동구 동부로,대구광역시 동구 신천동,27,851202,일반의원,2003-11-06,,,12,1,1
2026-07,파이로텍인코퍼레이티드,113840,1,대구광역시 서구 와룡로66안길,대구광역시 서구 중리동,27,000000,해당없음,2003-11-01,,,6,1,0
2026-07,죽전그린빌입주자대표회,503826,1,대구광역시 달서구 와룡로53길,대구광역시 달서구 죽전동,27,999999,BIZ_NO미존재사업장,2003-11-01,,,3,0,0
2026-07,（주)민스텍스타일,220861,1,대구광역시 달서구 달서대로,대구광역시 달서구 신당동,27,171109,화학섬유직물 직조업,2003-07-01,,,3,0,0
2026-07,보광테크,503129,1,대구광역시 달서구 성서서로51길,대구광역시 달서구 신당동,27,292202,금속 절삭기계 제조업,2003-11-10,,,14,0,1
2026-07,（주）호진건설,514814,1,대구광역시 달성군 옥포읍 신당2길,대구광역시 달성군 옥포읍,27,451101,아파트 건설업,2003-09-16,,,4,0,0
