회사명,주소,업종,사업내용,종사자수,설립연도,태그,출처,기준월
주식회사 대경축산,대구광역시 동구,도소매업,육가공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
대한환경(태양광발전소),대구광역시 달성군,제조업,역삼투 해수담수화 순수제조장치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜홍두당,대구광역시 중구,제조업,빵류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜해누리애드,대구광역시 수성구,기타,온라인광고 대행,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 유니마인드,대구광역시 달서구,도소매업,연속혈당측정기 판매,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엔가든,대구광역시 남구,정보처리S/W,"SW, 콘텐츠, VR, 인지재활훈련시스템",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 굿유,대구 서구,제조업,"토탈유니폼,린넨품.침구류,섬유의복,가죽가공기계 제조/유니폼,린넨품,원단 도소매,무역,전자상거래/부동산 임대",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주) 엔터인,대구광역시 수성구,정보처리S/W,"중소유통업 ERP프로그램 개발기술, 모바일 프로그램 및 쇼핑몰 개발 외",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜한국고분자,대구광역시 달성군,제조업,"엔지니어링플라스틱 가공용소재(MC NYLON, PEEK,POM,HDPE 등) , 엔지니어링플라스틱 제품 가공",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)한국이앤씨,대구 서구,기타,대기 및 수질 측정 분석 대행 서비스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 무인오토,대구광역시 북구,제조업,부품공급기 무진동피더 스마트피더 로봇팔과 연계한 부품공급시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
태경산업㈜,대구광역시 달서구,제조업,자동차용 고무호스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
헤드컴,대구 달서구,제조업,치과용 컨트롤박스 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
근우테크(주),대구 북구,제조업,농업용기계,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 지클로,대구광역시 동구,제조업,기능성 고분자,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 아이커넥트,대구광역시 동구,정보처리S/W,소프트웨어개발.전자상거래도소매,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에스제이테크,대구광역시 달서구,제조업,"BALL JOINT, STABILIZER LINK, TIE ROD END",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 호현에프앤비,대구광역시 수성구,기타,"경영 컨설팅업, 프랜차이즈,산업용로봇, 서비스로봇,특수기계 및 전기차,육류 가공식품 도매업,산업용로봇, 서비스로봇, 특수기계 및 전기차,소프트웨어 개발,광",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 뿌리,대구광역시 달서구,제조업,족발/보쌈 및 관련 소스 일체,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜아이브이티,대구광역시 북구,제조업,반도체웨이퍼오염분석장치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 지성엔테크,대구 달서구,제조업,기타직물제조업,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
빠레브 주식회사,대구광역시 동구,제조업,금속제 신변장신구 및 디스플레이 용품제조,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜모아이스,대구광역시 동구,정보처리S/W,소프트웨어 개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜한우리건강의료기,대구광역시 북구,제조업,두상교정헬멧,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 프라임뮤파마,대구광역시 북구,연구개발서비스,신약,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜보광아이엔티,대구광역시 서구,제조업,유니폼 침구류 린넨류 등,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)예성글로벌,대구광역시 북구,제조업,방화문자동폐쇄장치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 지웰코퍼레이션,대구광역시 수성구,제조업,표면개질용 레진,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜마이크로엔엑스,대구광역시 동구,제조업,치과용 의료용구,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜Y.M.P,대구광역시 달성군,제조업,자동차 부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
아이티스코,대구광역시 수성구,정보처리S/W,"제조관리시스템 MES, ERP 외",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
잇코봇(ITCOBOT),대구광역시 북구,제조업,협동로봇 프레임. 소프트웨어,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 수영하이텍,대구광역시 달성군,제조업,"2차전지 양극제, 수처리약품",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜은평조명,대구광역시 북구,제조업,led조명기구,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜명성,대구광역시 동구,제조업,무선소형가전제품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사네트워크코리아,대구 북구,제조업,"스마트전기안전시스템 ,전기안전 모니터링시스템 제조",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
지이티 주식회사,대구광역시 달성군,제조업,자동화기계,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에너캠프,대구광역시 달서구,제조업,스마트 배터리 충전기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 일렉트리코,대구광역시 달성군,제조업,"용탕온도 제어 예측 관리시스템, 복수기 세정장치, 인체감지시스템",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)엘제이솔루션,대구광역시 북구,제조업,산업가스분석기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 캐니캐티케어(CaniCatiCare),대구광역시 수성구,연구개발서비스,반려동물 종양돌연변이의 진단과 표적항암제 처방 컨설팅,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 안드레의 바다,대구광역시 동구,정보처리S/W,"웹 게임, 메타버스 콘텐츠 개발",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜제이엠바이오텍,대구광역시 달서구,제조업,의료기기 화장품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사태성미디어,대구광역시 달서구,제조업,디지털앰프,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 아스트로젠,대구광역시 동구,연구개발서비스,"신약개발,건강기능식품",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
유창정밀금속,대구광역시 북구,제조업,1톤상용자동차 적재함부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 글라우드,대구광역시 동구,정보처리S/W,의료용 소프트웨어 개발 및 공급,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
비에스텍,대구 달서구,제조업,자동화장비 및 관련 부품류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)위니텍,대구 달서구,정보처리S/W,통합관제시스템 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에이치앤에스글로벌,대구광역시 달서구,제조업,"POLYESTER,NYLON,PP FIBER, WORKWEAR",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엠엠티에스엠,대구 달성군,제조업,자동차 부품(터빈하우징),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)엔젤게임즈,대구 수성구,정보처리S/W,"게임소프트웨어 개발,공급",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 포스트중경,대구광역시 수성구,도소매업,"문제성손발톱관리 화장품 책임 판매업 (안티러브럼드롭,안티러브럼스프레이)",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 탭탭마루와스코,대구광역시 북구,기타,소프트웨어 개발 및 공급데이터베이스 구축,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 원셀로보,대구광역시 달서구,제조업,"서비스로봇, 로봇SI, 특수목적형기계시스템",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에이엘텍,대구광역시 달서구,제조업,LED조명,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
엠알텍 주식회사,대구광역시 달서구,제조업,금속3D 프린터,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜알엔웨어,대구광역시 수성구,정보처리S/W,무선영상송수신플랫폼ANYSYNC),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
비젼디지텍㈜,대구광역시 달서구,제조업,와이어링하네스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에스제이앤텍,대구광역시 달서구,제조업,절삭공구,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 소모,대구광역시 달성군,제조업,액상소스류 분말소스류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사에스이컴퍼니,대구광역시 동구,기타,"외식프랜차이즈 가맹시스템 및 밀키트, 식자재 공급",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)에이치티이앤에스,대구광역시 달성군,연구개발서비스,건물일체형태양광발전시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 릴리커버,대구광역시 수성구,제조업,피부미용기기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
스트론,대구광역시 달서구,제조업,자동차 부품  그외 기타 금속 가공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)재원기계,대구 달성군,도소매업,"공기압축기,산업기계 도소매,제조/마스크 도소매/공기 압축",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 이룸기술,대구 달성군,정보처리S/W,소프트웨어개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 공성,대구 달서구,제조업,"밴드쏘, 파이프나사절삭기, 전동운반차 외",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 파크로,대구광역시 북구,제조업,파크골프채,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)솔지,대구 달성군,제조업,"유분석장비, 액체여과기, 필터, 유분석 진단서비스",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 세기엘테크,대구광역시 달성군,제조업,다이아케스팅및 금속조립외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 대호,대구 달서구,제조업,자동차용품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 씨티셀즈,대구광역시 달성군,연구개발서비스,면역세포치료제,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 신라이앤씨,대구 북구,건설운수,"통신공사, 스마트파킹, 스마트팜",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 코그,대구광역시 중구,정보처리S/W,온라인게임,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)정인이엔지,대구 달성군,제조업,생산자동화설비 제작 및 시운전,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
트루소프트,대구광역시 동구,정보처리S/W,모바일 소프트웨어 제작 및 공급,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
티피랩(주),대구광역시 중구,제조업,"밤식빵, 몽블랑, 바게트 등",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사씨드약품,대구광역시 북구,도소매업,의약품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 토리스,대구광역시 달성군,정보처리S/W,마이크로파 레이더,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)광명테크,대구 수성구,제조업,"증명발급기,무인민원발급기부스,민원사무자동화시스템,자동인증시스템 제조/증명발급,민원사무자동화시스템,자동인증시스템 도매/비주거용건물 임대",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
네오에이스 주식회사,대구광역시 서구,제조업,원단염색임가공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
농업회사법인 맑을청웰빙 주식회사,대구광역시 달성군,제조업,"우엉차, 호박차",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 다올넷,대구광역시 중구,도소매업,인터넷 TV 가입유치 / 렌탈 가입 / 무선 유심 및 휴대폰 판매 / 광고 대행업,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜케이엠에프,대구광역시 동구,제조업,"칼슘, 식초",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 썬팀테크,대구광역시 달서구,제조업,구조용 금속 판제품 및 공작물,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 황소농기계,대구 달성군,제조업,"농기계, 축산기자재 제조 및 도소매",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)영원플러스,대구광역시 서구,도소매업,"콘택트렌즈, 몰드 성형사출",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 신라시스템,대구광역시 동구,정보처리S/W,통합예약솔루션,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
진명산업 주식회사,대구광역시 달성군,제조업,CAGE,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)제이에스테크윈,대구광역시 동구,제조업,방사선검출기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜대일산업,대구광역시 동구,제조업,커튼류블라인드류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에어스,대구 북구,제조업,"정형 외과용 및 신체 보정용 기기 제조업,그 외 기타 의료용 기기 제조업,산업 처리공정 제어장비 제조업,자연과학 및 공학 융합 연구개발업",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
성림엔터프라이즈,대구광역시 달성군,제조업,스핀들 피트유니트 절삭 전용기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
옵티머스시스템 주식회사,대구 달성군,제조업,3D 시뮬레이션용역 및 VR 체험 시스템 장비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
유니온시스템,대구광역시 수성구,제조업,미용/의료기기용 고주파/초음파 제네레이터 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 이스턴기어,대구광역시 북구,제조업,기어 및 동력전달장치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
태영양말,대구광역시 남구,제조업,양말,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
태림A&C,대구광역시 서구,제조업,자동화시스템개발 자동화장비개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 푸딩,대구광역시 동구,정보처리S/W,컴퓨터 프로그램 서비스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜디지엔터테인먼트,대구광역시 수성구,정보처리S/W,융복합 소프트웨어 및 콘텐츠 개발 공급,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 인더텍,대구 동구,제조업,"정보통신기기,디지털헬스케어(디지털의료기기,플랫폼),CCTV,지능형로봇,전산소모품 제조/통신공사",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
스마트솔루션,대구 달서구,제조업,센서 및 의료기기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 하이로젠,대구광역시 달서구,제조업,수소 생산 패키지,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 빅웨이브에이아이,대구광역시 달서구,정보처리S/W,빅데이터 및 딥러닝 활용 분석 서비스 및 시스템 개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
제이케이티,대구광역시 달성군,제조업,차량용 댐퍼풀리,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 워크비자,대구광역시 동구,정보처리S/W,구인구직 플랫폼,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)청우에프엔씨,대구광역시 동구,제조업,소스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
와이제이링크주식회사,대구광역시 달성군,제조업,SMT주변장치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 와이코퍼레이션,대구광역시 동구,정보처리S/W,"소방안전 빅데이터 플랫폼, 자가격리자 앱, 화상강의 시스템, 포항시 스마트 주차 관제 서비스 등",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜코리아와이드아이티에스,대구광역시 수성구,정보처리S/W,버스정보시스템 구축 및 유지보수,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 캐쉬풀어스,대구광역시 동구,기타,개인차량 광고 플랫폼 서비스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 휴메닉,대구광역시 동구,정보처리S/W,유헬스케어장비,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)세스트,대구 북구,정보처리S/W,"소프트웨어,하드웨어개발및공급,유무선통신기기,컴퓨터시스템 통합 자문 및 구축, 소프트웨어/하드웨어 연구개발 및 공급,연구개발업,학술연구용역",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에임트 주식회사,대구광역시 달성군,제조업,진공단열재,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜세창,대구광역시 달서구,제조업,"스냅링, 와샤, 팬디스크",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜인셀,대구광역시 달성군,제조업,"자동차부품, 철도부품",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
전진바이오팜㈜,대구광역시 달서구,제조업,유해생물피해감소제,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
산시스템 주식회사,대구광역시 달성군,제조업,CNC공작기계 전용공작기계 자동화시스템外,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에이치에스청명(H.S.Cheong Myeong),대구광역시 북구,제조업,"저수조 제조 및 공조장치제조,기계설비공사,전문소방시설공사업,건축기계설비설계",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
현민지브이티 (주),대구광역시 달서구,제조업,반도체장비부품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 에이디엠컴퍼니,대구광역시 수성구,제조업,간판 안내판 현수막,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
신성모터스 주식회사,대구광역시 달서구,제조업,Starter Motor용 Shaft,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 시우라이팅,대구 달서구,제조업,"조명기구,조명제어시스템,일반 전기 공사업,전기,전자부품,비주거용 건물 임대업(점포, 자기땅),산업디자인 용역",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 한울시스템,대구광역시 달성군,제조업,자동화기계제작,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 알파메딕,대구광역시 달서구,제조업,가정용 의료기기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
바이루트(주),대구 동구,"농,어,임,광업","기타 시설작물 재배업,농산물,한약재,식품,화장품,무역,전자상거래업,컴퓨터프로그래밍,시스템통합및관리업",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
선진건설㈜,대구광역시 수성구,건설운수,상하수도 시설 공사,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엔도비전,대구 동구,제조업,"의료기기 제조/화장품,부품소재,정밀가공 도소매/전자상거래",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 브랜디드인더스트리,대구광역시 동구,제조업,섬유의복 제조 및 판매,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주) 선일기연,대구광역시 달서구,제조업,터미널자삽기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
화인시스템(주),대구 수성구,제조업,"자동조정및제어장비,계장,산업처리공정제어장비,전기자동차충전기,다기능자동조명제어장치 및 시스템, 건물에너지관리시스템(BEMS), 정보시스템개발, 제작설치,",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 감미,대구광역시 달성군,제조업,김치,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 나눔컴퍼니,대구광역시 수성구,제조업,"일회용 의료기기, 의료장비",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)레몬클라우드,대구 동구,정보처리S/W,"어플리케이션, 쇼핑몰",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 슈퍼메이커즈,대구광역시 달성군,제조업,반찬류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 엘디에스,대구광역시 북구,도소매업,재활로봇재활로봇연구),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 비앤티코리아,대구광역시 남구,제조업,의료기기보조기,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)아이디에스,대구 달성군,제조업,서보프레스기계식프레스유압식프레스,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 프롬프트타운,대구 수성구,정보처리S/W,"데이터베이스 및 온라인 정보 제공업,포털 및 기타 인터넷 정보 매개 서비스업,컴퓨터 시스템 통합 자문 및 구축 서비스업,응용 소프트웨어 개발 및 공급업,컴퓨",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 지앤티클린,대구광역시 서구,제조업,위생패드 제조,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주) 한실기계,대구광역시 달성군,제조업,주물기계,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 더마을에프엔비,대구광역시 달서구,도소매업,소스류,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 포파코,대구 달서구,도소매업,"애완용품,동물용의료기기,프랜차이즈 도소매/플라스틱용품,생활용품,시계,시계부품,목재가구,주방용품,일반잡화 제조",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
일신프라스틱㈜,대구광역시 달성군,제조업,리테이너,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
벽진BIO텍,대구광역시 달서구,제조업,메모리선염지교직물침구류후가공,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
아이디어스투실리콘 주식회사,대구광역시 북구,제조업,"응용 소프트웨어, 인공지능 반도체",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 플리퍼코퍼레이션,대구광역시 동구,정보처리S/W,소프트웨어 개발(앱/웹),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
명인스프링,대구광역시 달서구,제조업,스프링,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 위츠,대구광역시 수성구,정보처리S/W,영상감시시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
휴먼테크,대구광역시 달서구,제조업,"수질계측기,계장제어장치,자동제어반",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 파인메딕스,대구 동구,제조업,내시경시술기구,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
대성테크,대구광역시 북구,제조업,신소재복합IOT스마트플라스틱맨홀뚜껑,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
에이치제이에스(HJS),대구광역시 달성군,제조업,다이캐스팅용 이형제 주변장치 외,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 홍산,대구광역시 달성군,제조업,래디얼 피스톤 모터,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 게바,대구광역시 북구,기타,"부동산 개발,매매",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)우진,대구 군위군,제조업,"수처리　기계，자동제어장치　,전기공사,상하수도　설비공사,기타 부동산 임대업,무역업",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)문창,대구 달성군,제조업,"물탱크,저수조라이닝,압력용기,방수시트,금속기둥,정수설비,전기전자제어장치, CCTV,교통안전시설물 제조",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)에스앤비라이팅,대구 달성군,제조업,"LED 조명,도로교통시설물,자동차부품 제조/전자상거래",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 신화이엔씨,대구 서구,건설운수,"전기공사,태양광설치공사/발전장치 제조",,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 킴스트,대구 남구,정보처리S/W,시스템 응용소프트웨어 개발,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
언브릿지 주식회사,대구광역시 북구,제조업,폐배터리 잔존 평가 장비/하이브리드 충방전기/ 폐배터리 잔존평가 시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 시소이드,대구광역시 수성구,정보처리S/W,유통ERP,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜영광테크,대구광역시 달서구,제조업,브라켓아크릴커버,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜지엔에스모바일언스,대구광역시 달서구,제조업,레저용 오토트래킹 스마트 위성안테나,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜씨앤티,대구광역시 서구,제조업,소방용품,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
성민웰텍,대구광역시 북구,제조업,전동차 차체,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 아키테크,대구광역시 달성군,제조업,클라우드형 건설관리시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 하멕스,대구 군위군,제조업,그 외 자동차용 신품 부품 제조업,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜차지인,대구광역시 달성군,정보처리S/W,전기차충전시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주) 태린,대구광역시 달성군,제조업,마이크로필터,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
천가게,대구 서구,도소매업,원단 및 홈패션부자재 전자상거래,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
(주)썬시카티앤씨,대구광역시 달서구,제조업,방수재,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
홍익정공,대구광역시 달서구,제조업,조향장치및 브라켓트,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
㈜창설빌드시스템,대구광역시 수성구,기타,엔지니어링 및 세부자동입지분석시스템,,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
주식회사 코코에이치,대구광역시 동구,정보처리S/W,HR 플랫폼(헤어베어),,,venture,중소벤처기업부 벤처기업명단(공공데이터포털),2026-04
